truetime,L,R,B,D,C
2.0300000000,17.4802120666,117.4802120666,82.5197879334,0.0000000000,0.0000000000
2.0350000000,17.4601307923,117.4601307923,82.5398692077,0.0000000000,0.0000000000
2.0400000000,17.4402044670,117.4402044670,82.5597955330,0.0000000000,0.0000000000
2.0450000000,17.4204318556,117.4204318556,82.5795681444,0.0000000000,0.0000000000
2.0500000000,17.4008117337,117.4008117337,82.5991882663,0.0000000000,0.0000000000
2.0550000000,17.3813428869,117.3813428869,82.6186571131,0.0000000000,0.0000000000
2.0600000000,17.3620241113,117.3620241113,82.6379758887,0.0000000000,0.0000000000
2.0650000000,17.3428542132,117.3428542132,82.6571457868,0.0000000000,0.0000000000
2.0700000000,17.3238320086,117.3238320086,82.6761679914,0.0000000000,0.0000000000
2.0750000000,17.3049563239,117.3049563239,82.6950436761,0.0000000000,0.0000000000
2.0800000000,17.2862259951,117.2862259951,82.7137740049,0.0000000000,0.0000000000
2.0850000000,17.2676398680,117.2676398680,82.7323601320,0.0000000000,0.0000000000
2.0900000000,17.2491967981,117.2491967981,82.7508032019,0.0000000000,0.0000000000
